scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,tot_buildings_area,avg_building_area,max_building_area,min_occuppied_percentage_area,max_occuppied_percentage_area,avg_occuppied_percentage_area,total_occuppied_percentage_area
2800013,"[400, 400, 20.19037437438965]",33,100,8,16.8125,20.19037437438965,4.188205718994141,10.456082955002785,745,23.28125,148,9070.812671951808,283.462895998494,1105.9692353325113,0.02569450142579514,0.6912307720828196,0.17716430999905874,5.669257919969881
2802021,"[400, 400, 17.39851951599121]",11,32,8,18.2,17.39851951599121,4.424068450927734,10.667269325256347,253,25.3,46,3494.322772334159,349.4322772334159,733.7950573849057,0.08553824926403018,0.45862191086556603,0.21839517327088487,2.183951732708849
2811394,"[400, 400, 20.44717025756836]",17,28,8,12.875,20.44717025756836,4.164457321166992,14.504441499710083,277,17.3125,40,16834.889576704143,1052.180598544009,3735.243037771943,0.03319256853221757,2.3345268986074643,0.6576128740900057,10.521805985440091
2800659,"[400, 400, 17.095796585083008]",4,142,8,58.0,17.095796585083008,7.547280788421631,13.652960300445557,255,85.0,211,4818.186659327039,1606.0622197756795,2573.3717319522475,0.3023058917640514,1.6083573324701548,1.0037888873597998,3.011366662079399
2800407,"[400, 400, 19.562898635864258]",38,26,8,9.243243243243244,19.562898635864258,3.9623987674713135,13.707661274317148,439,11.864864864864865,37,30752.184619485648,831.1401248509634,7086.740936602354,0.06614625775069718,4.429213085376471,0.5194625780318519,19.220115387178527
2800399,"[400, 400, 25.627099990844727]",10,90,24,44.22222222222222,25.627099990844727,13.684650421142578,17.534691704644096,597,66.33333333333333,133,13034.026925299042,1448.225213922116,5098.616990819614,0.3484283207170179,3.1866356192622587,0.9051407587013224,8.146266828311902
2805242,"[400, 400, 16.33838653564453]",4,120,12,48.666666666666664,16.33838653564453,16.164003372192383,16.255008061726887,213,71.0,178,63220.84556209778,21073.615187365926,57823.801491572485,1.48133477418322,36.139875932232805,13.171009492103702,39.513028476311106
2803095,"[400, 400, 20.85431671142578]",49,118,8,17.083333333333332,20.85431671142578,4.072342872619629,10.332165002822876,1134,23.625,175,19494.315555219877,406.13157406708086,7880.759117063419,0.0192160722287372,4.925474448164636,0.2538322337919255,12.183947222012426
2800096,"[400, 400, 20.88710594177246]",7,126,32,87.0,20.88710594177246,4.663691997528076,14.196734031041464,777,129.5,189,14060.14226463768,2343.35704410628,4711.161750098092,0.41668702939316055,2.9444760938113075,1.464598152566425,8.78758891539855
2802404,"[400, 400, 27.707874298095703]",34,146,8,34.84848484848485,27.707874298095703,7.9332194328308105,16.36672475121238,1684,51.03030303030303,200,30521.70557475517,924.900168931975,3806.801144512516,0.10849178289450265,2.379250715320323,0.5780626055824845,19.076065984221987
2805258,"[400, 400, 18.220870971679688]",2,52,52,52.0,18.220870971679688,18.220870971679688,18.220870971679688,76,76.0,76,30214.379861202204,30214.379861202204,30214.379861202204,18.883987413251376,18.883987413251376,18.883987413251376,18.883987413251376
2802776,"[400, 400, 39.407615661621094]",29,104,8,26.214285714285715,39.407615661621094,4.310000419616699,18.950113007000514,1049,37.464285714285715,156,26771.60434818086,956.1287267207451,8832.18936113847,0.04043128151333802,5.520118350711543,0.5975804542004655,16.73225271761303
2800020,"[400, 400, 20.062612533569336]",37,134,8,19.5,20.062612533569336,4.194695949554443,12.869955552948845,981,27.25,199,17336.802141573848,481.5778372659402,2243.173761890852,0.044854643500011664,1.4019836011817823,0.30098614829121256,10.835501338483654
2808053,"[400, 400, 21.515342712402344]",136,60,8,16.02962962962963,21.515342712402344,4.097676753997803,12.734590191311307,3068,22.725925925925925,88,37557.62364361622,278.20461958234245,2013.4318101677927,0.026343937721039833,1.2583948813548704,0.17387788723896402,23.47351477726014
