scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,min_coords_biggest_building,max_coords_biggest_building,scene_total_area,tot_buildings_area,avg_building_area,max_building_area,min_occuppied_percentage_area,max_occuppied_percentage_area,avg_occuppied_percentage_area,total_occuppied_percentage_area,tot_buildings_volume_max,avg_building_volume,max_building_volume
2805368,"[400.0, 400.0, 17.355762481689453]",5,24,8,20.0,17.355762481689453,7.582008361816406,13.742084741592407,112,28.0,34,[-19.128399  81.65884    0.      ],[-1.9097462 97.26581   17.355762 ],160000.0,1035.9001790828916,258.9750447707229,268.7310264958214,0.14820991071765094,0.16795689155988838,0.16185940298170182,0.6474376119268073,14421.62563446893,3605.4064086172325,4664.031867322072
2800393,"[400.0, 400.0, 38.89958572387695]",29,56,8,16.357142857142858,38.89958572387695,4.496674537658691,17.424219914845057,633,22.607142857142858,82,[-101.51869    56.441296    0.      ],[-33.176865 130.78049   19.251387],160000.0,23006.727138840255,821.668826387152,5080.476189675392,0.016773368378308076,3.17529761854712,0.51354301649197,14.379204461775156,436308.62130484596,15582.450760887356,97806.21145523287
2800012,"[400.0, 400.0, 22.526330947875977]",36,210,6,20.457142857142856,22.526330947875977,4.189786434173584,12.798581654684885,1014,28.97142857142857,313,[ -85.95913 -130.69016    0.     ],[-20.319664 -41.723392  20.284214],160000.0,33732.442077062915,963.7840593446549,5839.730725626228,0.005914640716728172,3.6498317035163925,0.6023650370904092,21.082776298164326,516629.22734875686,14760.835067107335,118454.34785646066
2803071,"[400.0, 400.0, 25.59348487854004]",116,238,8,18.48695652173913,25.59348487854004,4.131323337554932,13.377571715479311,2968,25.808695652173913,333,[-17.393673 -21.633556   0.      ],[20.478657 16.281872 25.593485],160000.0,59964.3450495214,521.4290873871427,2222.4276604905463,0.023099147508578426,1.3890172878065914,0.3258931796169642,37.477715655950874,904196.3915711979,7862.577318010415,36750.8519105647
2800741,"[400.0, 400.0, 20.549226760864258]",26,56,8,19.44,20.549226760864258,4.283218860626221,15.084632186889648,679,27.16,82,[49.049625  7.786537  0.      ],[131.4477   73.81075  17.36975],160000.0,34234.21853082788,1369.368741233115,5440.267780045804,0.06729299384460319,3.4001673625286277,0.855855463270697,21.396386581767427,603506.4745569285,24140.25898227714,94496.0862087248
2811625,"[400.0, 400.0, 21.517026901245117]",118,40,6,12.444444444444445,21.517026901245117,3.9579858779907227,10.403225450434237,1950,16.666666666666668,58,[-108.66816   80.5228     0.     ],[-56.96856   97.25358   16.464853],160000.0,31473.457057838437,269.0039064772516,883.939558677841,0.03537329268071972,0.5524622241736507,0.16812744154828227,19.67091066114902,401485.10202618205,3431.496598514377,14241.681824761949
2809415,"[400.0, 400.0, 29.229358673095703]",83,60,8,21.0,29.229358673095703,4.524992942810059,17.61492188383893,2465,30.0609756097561,88,[  40.387024 -119.62532     0.      ],[ 94.082695 -72.98216   15.998326],160000.0,40672.509317136304,496.00621118458906,2504.535667970078,0.056337933517115746,1.5653347924812988,0.3100038819903681,25.42031832321019,749043.2176733024,9134.673386259783,40068.378850117675
2800939,"[400.0, 400.0, 19.886947631835938]",82,44,8,14.716049382716049,19.886947631835938,4.240984916687012,12.345782998167438,1632,20.14814814814815,64,[-96.20628   39.662548   0.      ],[-42.302933  84.93653   17.052818],160000.0,55180.41977010912,681.2397502482609,2440.419389216113,0.08980359862066507,1.5252621182600705,0.42577484390516296,34.48776235631821,808988.8818290874,9987.517059618363,41616.02841604788
2801769,"[400.0, 400.0, 26.626100540161133]",58,102,8,15.894736842105264,26.626100540161133,7.073829650878906,16.555230759737785,1247,21.87719298245614,151,[-69.66851 -97.47216   0.     ],[-29.142164 -65.81272   18.488548],160000.0,36251.43480162363,635.9900842390111,1472.0329293868854,0.15124223706951398,0.9200205808668034,0.39749380264938194,22.657146751014775,606249.5744744606,10635.957446920358,23721.572666918873
2804353,"[400.0, 400.0, 16.62225341796875]",13,40,8,18.666666666666668,16.62225341796875,4.15626859664917,7.422630945841472,312,26.0,58,[-23.099308  16.130241   0.      ],[ 3.4195662 84.60287   12.447473 ],160000.0,6667.863636822727,555.6553030685606,1815.8169457777694,0.07997677932763736,1.134885591111106,0.3472845644178503,4.167414773014205,56807.720991715,4733.976749309583,22602.33162893475
2801947,"[400.0, 400.0, 42.0]",39,1212,8,107.89473684210526,42.0,7.831966400146484,18.613609715511924,5216,137.26315789473685,1187,[18.563314 80.1181    0.      ],[ 81.25163  162.14941   16.250814],160000.0,43123.354652134374,1134.8251224245887,5142.404932846897,0.15185764881010982,3.214003083029311,0.7092657015153679,26.952096657583976,815391.3280481712,21457.666527583453,83568.26832806278
