,scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,min_coords_biggest_building,max_coords_biggest_building,scene_total_area,tot_buildings_area,avg_building_area,max_building_area,min_occuppied_percentage_area,max_occuppied_percentage_area,avg_occuppied_percentage_area,total_occuppied_percentage_area,tot_buildings_volume_max,avg_building_volume,max_building_volume
257,2802491,"[405.52789306640625, 400.0, 15.778934478759766]",2,88,88,88.0,15.778934478759766,15.778934478759766,15.778934478759766,130,130.0,130,[-96.649956 -82.73135    0.      ],[205.5279    123.857254   15.7789345],162211.1572265625,62426.501091279206,62426.501091279206,62426.501091279206,38.48471471298813,38.48471471298813,38.48471471298813,38.48471471298813,985023.6704575196,985023.6704575196,985023.6704575196
258,2802413,"[408.3291015625, 400.0, 19.492794036865234]",17,74,8,23.75,19.492794036865234,4.612728118896484,15.78487366437912,538,33.625,109,[-205.87602 -186.62816    0.     ],[ 28.082825 -41.002327  18.220018],163331.640625,99897.12925960416,6243.570578725261,34070.45166217291,0.2198146145234882,20.859676381012235,3.822633847816503,61.16214156506405,1719762.1927619395,107485.13704762122,620764.2557327618
260,2802385,"[400.0, 410.9453430175781, 43.9666748046875]",13,118,12,48.833333333333336,43.9666748046875,17.143033981323242,33.054226875305176,803,66.91666666666667,167,[-103.896576  -67.57682     0.      ],[-48.754063  66.452095  32.07775 ],164378.13720703125,24800.11478038683,2066.6762316989025,7390.691246988776,0.293239819454608,4.496152208903752,1.2572695291563998,15.087234349876796,753987.3167707501,62832.27639756249,237076.7547188421
266,2800427,"[400.0, 427.8135986328125, 32.08427810668945]",34,36,8,12.424242424242424,32.08427810668945,4.348865985870361,13.98548257712162,549,16.636363636363637,52,[63.11828  82.765335  0.      ],[169.12007  227.8136    16.795914],171125.439453125,33636.05667869486,1019.274444808935,15375.37599443004,0.1005498125965942,8.984856981852596,0.5956299940361215,19.655789803192008,561926.576511983,17028.07807612069,258243.4882504416
275,2803252,"[400.0, 426.8811950683594, 17.26933479309082]",4,200,8,100.0,17.26933479309082,13.16224765777588,15.552298545837402,444,148.0,298,[ -89.40833 -226.8812     0.     ],[126.783325 -57.49663   17.269335],170752.47802734375,54867.56937363492,18289.18979121164,36619.529614397645,0.4340318543541141,21.445972578233103,10.710936674244264,32.13281002273279,926204.977438298,308734.99247943267,632394.9168765369
308,2800360,"[439.70928955078125, 400.0, 21.484739303588867]",17,24,8,13.5,21.484739303588867,4.349913597106934,15.966461837291718,294,18.375,36,[-239.70929    11.818344    0.      ],[-14.821136 119.17146   19.36047 ],175883.7158203125,42047.03123391028,2627.939452119392,24142.444635597058,0.0081185115215116,13.726367175606878,1.4941345990234622,23.9061535843754,780900.8564544962,48806.30352840601,467409.0707029949
309,2803290,"[402.3071594238281, 404.60552978515625, 20.58730697631836]",37,96,6,13.666666666666666,20.58730697631836,4.362128734588623,15.702221155166626,676,18.77777777777778,150,[-113.428986 -204.60551     0.      ],[ 27.882462 -73.738716  15.907128],162775.7013750393,83732.28384317583,2325.8967734215507,18492.976665072027,0.079838265819574,11.361017958364526,1.4288967909667465,51.44028447480287,1320817.8383560665,36689.38439877962,294170.15308980783
314,2805924,"[412.01275634765625, 400.0, 28.66571617126465]",25,613,8,53.125,28.66571617126465,4.260842323303223,16.808888872464497,1573,65.54166666666667,618,[54.3219   17.087997  0.      ],[212.01277  180.83772   22.475046],164805.1025390625,70597.20698867638,2941.5502911948493,25821.83701041108,0.0409686360138752,15.668105302923328,1.7848660301628925,42.83678472390941,1348923.172567933,56205.13219033054,580346.9786891306
315,2809526,"[400.0, 408.04949951171875, 20.724699020385742]",12,88,8,22.727272727272727,20.724699020385746,4.759455680847168,15.450273340398615,353,32.09090909090909,130,[ -94.425804 -208.04951     0.      ],[-11.961388 -98.60034   20.724699],163219.7998046875,21170.428524856718,1924.5844113506105,9025.662186105736,0.0367215795459937,5.529759377787528,1.1791366082139616,12.97050269035358,380380.38844464347,34580.035313149405,187054.13226671817
319,2800145,"[413.1932373046875, 412.82879638671875, 19.364831924438477]",4,34,8,16.666666666666668,19.36483192443848,13.639183044433594,17.36065928141276,73,24.33333333333333,53,[  60.9843  -212.82881    0.     ],[213.19322  -33.071808  13.639183],170578.066831626,52368.31200809067,17456.104002696888,27360.62000878621,6.463863558044974,16.039940255503833,10.233498554024203,30.700495662072612,854283.2578354192,284761.0859451397,373176.5045090274
322,2805032,"[400.0, 464.7576904296875, 18.05799102783203]",4,34,8,18.0,18.05799102783203,13.073759078979492,15.599306106567385,75,25.0,49,[  58.589252 -264.7577      0.      ],[155.21297  -81.11406   18.057991],185903.076171875,21152.049785808777,7050.6832619362585,17744.32975996536,0.2087212992185642,9.544936063112802,3.7926662684256023,11.377998805276809,365984.5630454416,121994.85434848054,320426.94760034734
338,2806891,"[406.107666015625, 400.0, 19.5585880279541]",24,38,8,10.608695652173912,19.5585880279541,4.507963180541992,16.195986001387887,320,13.91304347826087,55,[-206.10767 -115.80614    0.     ],[-61.29521  46.98887  16.2554 ],162443.06640625,94963.30554327952,4128.839371446935,23574.744325008127,0.0384662884712478,14.512619619018157,2.5417147452272406,58.45943914022653,1550707.633681487,67422.07102962988,383216.8919221293
355,2804644,"[434.955810546875, 400.0, 17.41582679748535]",7,28,8,12.666666666666666,17.41582679748535,12.091282844543455,15.838196595509848,102,17.0,40,[-120.67306  -69.75073    0.     ],[118.39185  185.0707    12.091283],173982.32421875,104660.48575613229,17443.414292688714,60918.86159283249,2.6046418639049125,35.014396931632255,10.02596923050465,60.1558153830279,1453924.5816258895,242320.7636043149,736587.1860865328
