scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,tot_buildings_area,avg_building_area,max_building_area,min_occuppied_percentage_area,max_occuppied_percentage_area,avg_occuppied_percentage_area,total_occuppied_percentage_area,percent_very_poor,percent_poor,percent_fair,percent_good,percent_excellent,tensor_max [dBm],tensor_min [dBm],tensor_mean [dBm],tensor_median [dBm]
2800278,"[400, 400, 28.052106857299805]",43,46,8,19.80952380952381,28.052106857299805,4.295228481292725,15.924211433955602,1174,27.952380952380956,73,21807.38088714036,519.2233544557229,4482.761848663297,0.0019623166012024,2.8017261554145607,0.3245145965348268,13.629613054462723,0.222675,0.298075,0.17245,0.089225,0.217575,-63.325111389160156,-220.0,-108.05999755859375,-101.09969329833984
2802482,"[400, 400, 19.86087417602539]",57,36,8,9.964285714285714,19.86087417602539,4.190200805664063,13.389942952564784,725,12.946428571428571,52,27469.27712568753,490.5228058158488,2043.5147944646465,0.0502911714814581,1.2771967465404042,0.3065767536349054,17.16829820355471,0.3628,0.211775,0.20135,0.11195,0.112125,-59.68852233886719,-220.0,-121.27887725830078,-105.2628402709961
2807655,"[400, 400, 18.420059204101562]",18,24,8,17.176470588235293,18.42005920410156,4.588576793670654,15.47626116696526,404,23.764705882352946,34,11993.97568530569,705.5279814885699,1769.544770815897,0.0096417225925642,1.1059654817599356,0.4409549884303563,7.496234803316057,0.16855,0.2706,0.220725,0.093775,0.24635,-57.89054870605469,-220.0,-103.08343505859375,-98.04781341552734
2803092,"[400, 400, 38.04905319213867]",43,112,8,21.428571428571427,38.04905319213867,7.086561679840088,19.06331763948713,1250,29.761904761904763,148,33171.319147446666,789.7933130344443,4885.015185486706,0.0662498190132963,3.0531344909291915,0.4936208206465277,20.73207446715416,0.477675,0.2954,0.128325,0.0533,0.0453,-61.93352508544922,-220.0,-131.73765563964844,-118.60496520996094
2804518,"[400, 400, 20.561466217041016]",15,112,8,21.428571428571427,20.561466217041016,12.694438934326172,15.858661447252546,422,30.142857142857142,166,21948.568692512043,1567.754906608003,4212.019390766247,0.2293081723885188,2.6325121192289043,0.979846816630002,13.717855432820029,0.9936,0.0,5e-05,7.5e-05,0.006275,-44.35358428955078,-220.0,-218.9676513671875,-220.0
2800034,"[400, 400, 19.634878158569336]",34,40,8,15.575757575757576,19.634878158569336,4.156032562255859,9.574922344901346,705,21.363636363636363,58,14472.308372126738,438.5547991553556,5340.904874937769,0.0298330759212694,3.338065546836106,0.2740967494720973,9.045192732579208,0.089775,0.24875,0.35725,0.125475,0.17875,-61.67522430419922,-220.0,-100.4731674194336,-95.82046508789062
2801546,"[400, 400, 27.569536209106445]",48,128,8,23.25531914893617,27.569536209106445,4.438958644866943,17.204341107226433,1546,32.8936170212766,192,36259.948921594696,788.2597591651021,14364.65313218822,0.0641487979886323,8.977908207617638,0.4926623494781888,22.66246807599668,0.3182325581395349,0.23330232558139535,0.2092325581395349,0.10406976744186046,0.13516279069767442,-63.16559600830078,-220.0,-115.50525665283203,-103.86571502685547
2810714,"[400, 400, 35.38600158691406]",55,36,8,10.666666666666666,35.38600158691406,4.249364376068115,14.612269710611416,758,14.037037037037036,54,18736.24525021372,346.96750463358734,2965.1812491565934,0.0187949990769652,1.853238280722871,0.2168546903959921,11.710153281383572,0.175775,0.2601,0.148975,0.13335,0.2818,-64.16539001464844,-220.0,-101.87654876708984,-96.29917907714844
2805368,"[400, 400, 17.693586349487305]",5,24,8,20.0,17.693586349487305,4.130385875701904,13.050573706626892,112,28.0,34,950.0970498811294,237.52426247028237,263.1461257804258,0.1342276288035009,0.1644663286127661,0.1484526640439264,0.5938106561757058,0.007675,0.18145,0.298675,0.1094,0.4028,-55.350006103515625,-220.0,-86.99815368652344,-89.29736328125
2800393,"[400, 400, 39.02796936035156]",29,56,8,16.357142857142858,39.02796936035156,4.693404674530029,17.467622569629125,633,22.607142857142858,82,10722.484443848396,382.9458729945856,2812.1611034234447,0.0065340232023879,1.7576006896396532,0.2393411706216159,6.701552777405246,0.1805,0.4241,0.23875,0.082475,0.074175,-69.31808471679688,-220.0,-108.38095092773438,-102.89241790771484
2800012,"[400, 400, 20.931377410888672]",36,210,6,20.457142857142856,20.931377410888672,4.189436912536621,12.764866379329137,1014,28.97142857142857,313,15608.669662771415,445.9619903648976,2687.506182990604,0.0029419553026673,1.6796913643691274,0.2787262439780609,9.755418539232132,0.1866,0.234275,0.163575,0.10305,0.3125,-65.10797119140625,-220.0,-101.5660400390625,-95.31446838378906
2803071,"[400, 400, 24.484233856201172]",116,238,8,18.48695652173913,24.48423385620117,3.898551225662232,13.486732625961304,2968,25.808695652173917,333,40384.16741264374,351.1666731534239,1345.9958557568607,0.0208956863083108,0.8412474098480379,0.2194791707208899,25.24010463290234,0.997225,0.001875,0.000175,0.000525,0.0002,-76.72451782226562,-220.0,-219.6100311279297,-220.0
2800741,"[400, 400, 19.656875610351562]",26,56,8,19.44,19.65687561035156,4.638827800750732,14.550390949249268,679,27.16,82,19446.64891210787,777.8659564843148,2243.2602987070354,0.0402443881210638,1.402037686691897,0.4861662228026966,12.154155570067417,0.233275,0.258525,0.20235,0.117575,0.188275,-59.9805908203125,-220.0,-107.54507446289062,-99.53665161132812
2811625,"[400, 400, 20.97801971435547]",118,40,6,12.444444444444445,20.97801971435547,4.142964839935303,10.373068149273212,1950,16.666666666666668,58,23618.877885856,201.8707511611624,662.6269131025036,0.0167312411820142,0.4141418206890647,0.1261692194757264,14.761798678659996,0.554875,0.20695,0.104775,0.06845,0.06495,-58.516632080078125,-220.0,-146.90440368652344,-131.75558471679688
2809415,"[400, 400, 27.80535888671875]",83,60,8,21.0,27.80535888671875,4.196754455566406,17.277100958475252,2465,30.0609756097561,88,24985.70016264507,304.7036605200617,1536.676724740086,0.0339455425234153,0.9604229529625538,0.1904397878250386,15.616062601653166,0.57655,0.161625,0.114175,0.114,0.03365,-63.66661071777344,-220.0,-141.1516876220703,-130.71905517578125
2800939,"[400, 400, 20.98834800720215]",82,44,8,14.716049382716047,20.98834800720215,4.129528999328613,12.32485200740673,1632,20.14814814814815,64,29289.46395095016,361.5983203821008,1145.333703538617,0.0566089375733827,0.7158335647116357,0.2259989502388129,18.305914969343856,0.34475,0.319525,0.1304,0.072275,0.13305,-62.852699279785156,-220.0,-119.29097747802734,-108.5447769165039
2801769,"[400, 400, 26.3226261138916]",58,102,8,15.894736842105264,26.3226261138916,7.069427490234375,16.977607041074517,1247,21.87719298245614,151,29580.32017181594,518.9529854704551,1043.92284593563,0.1228581074952309,0.6524517787097688,0.3243456159190344,18.487700107384963,0.4039,0.3339,0.146925,0.056825,0.05845,-60.739097595214844,-220.0,-125.11100006103516,-113.51428985595703
2804353,"[400, 400, 17.841106414794922]",13,40,8,18.666666666666668,17.841106414794922,3.981950521469116,7.360924581686656,312,26.0,58,4997.720449508823,416.4767041257352,1134.8735443618953,0.0731640308172382,0.7092959652261845,0.2602979400785845,3.123575280943014,0.052175,0.182525,0.312325,0.096075,0.3569,-60.193138122558594,-220.0,-91.25234985351562,-92.30392456054688
2801947,"[400, 400, 42.0]",39,1212,8,107.89473684210526,42.0,4.893360614776611,18.3124749409525,5216,137.26315789473685,1187,30754.417845412598,809.3267854055946,4030.156944268151,0.1287505856148966,2.5188480901675945,0.5058292408784965,19.22151115338287,0.526175,0.28515,0.081475,0.05465,0.05255,-61.05964660644531,-220.0,-138.75343322753906,-121.90151977539062
2800412,"[400, 400, 21.16035270690918]",89,82,8,10.75,21.16035270690918,4.378622055053711,9.041650078513406,1243,14.125,121,13279.3470020209,150.90167047751018,1080.4056183122375,0.02503739648818,0.6752535114451484,0.0943135440484438,8.299591876263063,0.106275,0.329475,0.24945,0.108675,0.206125,-64.76333618164062,-220.0,-100.75650024414062,-97.67036437988281
2801538,"[400, 400, 35.60824203491211]",21,58,8,17.6,35.60824203491211,3.964392900466919,18.0248130440712,488,24.4,85,16279.19201618134,813.9596008090672,2436.901914280036,0.0988493082523564,1.5230636964250224,0.508724750505667,10.17449501011334,0.2094,0.32265,0.183425,0.145325,0.1392,-63.65576171875,-220.0,-108.86170959472656,-101.23117065429688
2804597,"[400, 400, 20.893796920776367]",8,68,8,26.857142857142858,20.893796920776367,7.784482479095459,15.824824128832136,272,38.85714285714285,100,20368.313874771226,2909.759124967318,10161.584999010547,0.6021878425997055,6.350990624381593,1.8185994531045735,12.730196171732016,0.16432511806961148,0.222288367662817,0.31872842005000596,0.17502083581378736,0.11963725840377823,-62.419525146484375,-220.0,-105.71324157714844,-97.8376235961914
2805891,"[400, 400, 29.722131729125977]",38,132,8,17.56756756756757,29.722131729125977,4.176746368408203,16.309634324666614,897,24.24324324324324,192,12926.983083734009,349.37792118200025,1966.2107135412225,0.0255217075537621,1.228881695963264,0.2183612007387501,8.079364427333758,0.1805,0.3337,0.2876,0.0899,0.1083,-61.426605224609375,-220.0,-111.62574005126953,-100.36289978027344
2800291,"[400, 400, 41.89725112915039]",5,192,8,54.0,41.89725112915039,9.897092819213867,21.397745370864868,294,73.5,264,27266.738633861347,6816.684658465337,26453.20498590776,0.1030612243383074,16.53325311619235,4.260427911540836,17.041711646163343,0.245075,0.18935,0.1315,0.074,0.360075,-61.78181457519531,-220.0,-108.54423522949219,-96.91009521484375
2806824,"[400, 400, 19.40704917907715]",15,168,8,31.571428571428573,19.40704917907715,11.916354179382324,16.11534002849034,641,45.785714285714285,252,48656.71283559447,3475.479488256748,10389.964335140508,0.2107799309104938,6.493727709462817,2.172174680160468,30.410445522246544,0.40954976303317536,0.2663744075829384,0.14637440758293838,0.04199052132701422,0.13571090047393364,-62.75578308105469,-220.0,-124.26403045654297,-113.5583724975586
2809401,"[400, 400, 8.280550003051758]",3,28,12,20.0,8.280550003051758,4.730006217956543,6.50527811050415,56,28.0,40,851.3364129209513,425.6682064604756,440.6258439495869,0.2566941056071027,0.2753911524684918,0.2660426290377973,0.5320852580755946,0.004725,0.105,0.33185,0.136375,0.42205,-55.7509765625,-220.0,-83.84002685546875,-86.8988037109375
2806635,"[400, 400, 19.1494140625]",37,24,8,11.555555555555555,19.1494140625,4.405807495117188,9.92470591598087,552,15.333333333333334,34,9171.41181047097,254.76143917974912,771.7259573080337,0.0142836721960338,0.4823287233175211,0.1592258994873432,5.732132381544355,0.131425,0.231325,0.199275,0.080075,0.3579,-66.177490234375,-220.0,-96.63372802734375,-95.14078521728516
2802392,"[400, 400, 34.22658157348633]",72,803,8,85.35211267605634,34.22658157348633,4.273455619812012,18.41454591885419,7851,110.5774647887324,860,36548.85516875386,514.7726080106175,2978.02467277319,0.0244607655143682,1.861265420483244,0.321732880006636,22.843034480471157,0.564775,0.233075,0.084775,0.0647,0.052675,-65.63556671142578,-220.0,-144.63134765625,-126.54420471191406
2808132,"[400, 400, 20.07929801940918]",14,40,8,12.615384615384617,20.07929801940918,4.249277114868164,7.645379323225755,220,16.923076923076923,58,8003.927782336837,615.686752487449,4048.694589651685,0.0025802770578776,2.530434118532303,0.3848042203046556,5.002454863960523,0.124025,0.215,0.25795,0.105975,0.29705,-58.37809753417969,-220.0,-96.44324493408203,-93.58488464355469
2806173,"[400, 400, 20.15819549560547]",96,28,8,11.494736842105263,20.15819549560547,4.0366950035095215,10.30797283774928,1448,15.242105263157894,40,22971.623391091543,241.80656201148997,1881.4239441785217,0.0252943124274315,1.175889965111576,0.1511291012571812,14.357264619432213,0.3372,0.331625,0.181925,0.10475,0.0445,-62.137054443359375,-220.0,-118.32308959960938,-107.83256530761719
