scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,min_coords_biggest_building,max_coords_biggest_building,scene_total_area,tot_buildings_area,avg_building_area,max_building_area,min_occuppied_percentage_area,max_occuppied_percentage_area,avg_occuppied_percentage_area,total_occuppied_percentage_area,tot_buildings_volume_max,avg_building_volume,max_building_volume
2800390,[400.       400.        19.353626],33,36,8,13.75,19.353626251220703,4.357176780700684,12.534037873148918,596,18.625,52,[ 58.065063 -17.575      0.      ],[122.692085  20.33974   16.378767],160000.0,26772.547485695817,836.6421089279943,2450.3168261070387,0.18015498337084865,1.531448016316899,0.5229013180799964,16.732842178559885,395501.0207904752,12359.40689970235,40133.168404188014
2800262,[400.       400.        20.094841],38,112,8,13.135135135135135,20.09484100341797,4.085514545440674,10.357643900690851,639,17.27027027027027,150,[-168.50636   72.08358    0.     ],[-96.93724 106.03587  16.72204],160000.0,12399.602284324377,335.12438606282103,2429.9358389142435,0.008884361193086079,1.518709899321402,0.20945274128926308,7.749751427702733,190763.20848333612,5155.762391441516,40633.48472437781
2801598,[400.       400.        20.716002],9,332,12,65.0,20.716001510620117,9.950409889221191,15.118247509002686,772,96.5,498,[-69.68248  -54.348923   0.      ],[18.52678  65.70921  15.583312],160000.0,26137.708488348384,3267.213561043548,10590.239216261543,0.35612147831807306,6.618899510163464,2.042008475652217,16.33606780521774,396224.7879795247,49528.09849744059,165031.0022281348
2806582,[400.       400.        17.516516],15,186,8,38.714285714285715,17.516515731811523,4.7911810874938965,13.267949955804008,785,56.07142857142857,277,[-199.00888   -91.998245    0.      ],[-50.43768     3.8457708  12.399082 ],160000.0,32512.292302712052,2322.306593050861,14239.660608043832,0.08239407463599491,8.899787880027395,1.4514416206567877,20.32018268919503,440965.45447391196,31497.53246242228,176558.7221490945
2800278,[400.       400.        28.052107],43,46,8,19.80952380952381,28.052106857299805,4.295228481292725,15.924211433955602,1174,27.952380952380953,73,[-58.67362  -25.974293   0.      ],[54.09413  24.1863   22.456627],160000.0,28605.1858614228,681.0758538434,5656.497204263236,0.0020143629066296854,3.5353107526645227,0.425672408652125,17.87824116338926,539753.9445701018,12851.284394526236,127025.84723228881
2802482,[400.       400.        19.860874],57,36,8,9.964285714285714,19.86087417602539,4.1902008056640625,13.389942952564784,725,12.946428571428571,52,[-22.688545 -17.113255   0.      ],[61.188583 31.945417 18.361053],160000.0,50808.17799346351,907.2888927404199,4114.900536256595,0.08241282907390995,2.571812835160372,0.5670555579627624,31.755111245914694,771309.8538973854,13773.3902481676,75553.90875675848
2807655,[400.      400.       18.42006],18,24,8,17.176470588235293,18.420059204101562,4.588576793670654,15.47626116696526,404,23.764705882352942,34,[-81.15311   89.532295   0.      ],[ -6.5339203 133.74803    16.915602 ],160000.0,21932.476632130565,1290.1456842429743,3562.547479923771,0.016411350221396788,2.2265921749523567,0.806341052651859,13.707797895081601,354820.2965635411,20871.782150796535,55810.3599043938
2803092,[400.       400.        38.049053],43,112,8,21.428571428571427,38.04905319213867,7.086561679840088,19.06331763948713,1250,29.761904761904763,148,[-156.44795   -12.490818    0.      ],[-76.43466   58.576145  36.97968 ],160000.0,43225.38192320762,1029.175760076372,6977.174835865284,0.07299371490174962,4.360734272415802,0.6432348500477324,27.015863702004765,946292.5444760663,22530.774868477765,210277.60716117115
2804518,[400.       400.        20.561466],15,112,8,21.428571428571427,20.561466217041016,12.694438934326172,15.858661447252546,422,30.142857142857142,166,[24.596645 47.96614   0.      ],[ 99.8996   136.6429    20.561466],160000.0,29416.680301586843,2101.191450113346,6677.62162046507,0.2316179889128398,4.173513512790668,1.313244656320841,18.38542518849178,488352.7320394438,34882.338002817414,137301.69135937523
2800034,[400.       400.        19.634878],34,40,8,15.575757575757576,19.634878158569336,4.156032562255859,9.574922344901346,705,21.363636363636363,58,[-127.789055   25.097382    0.      ],[-20.483604 104.61287   19.634878],160000.0,25726.317526040708,779.5853795769912,8532.445221438538,0.05971037190312927,5.332778263399087,0.48724086223561935,16.07894845377544,424321.1520564563,12858.216728983523,167533.52231761286
