scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,diff_coords_biggest_building,min_coords_biggest_building,max_coords_biggest_building,tot_buildings_area,avg_building_area,max_building_area,min_occuppied_percentage_area,max_occuppied_percentage_area,avg_occuppied_percentage_area,total_occuppied_percentage_area,tot_buildings_volume_max,avg_building_volume,max_building_volume
2809497,[442.19855  400.        17.697968],15,28,8,15.285714285714286,17.697967529296875,4.295482635498047,13.221354143960136,293,20.928571428571427,40,"[257.11737060546875, 198.3079376220703, 16.968902587890625]","[-14.918808937072754, -74.15525817871094, 0.0]","[242.1985626220703, 124.15267944335938, 16.968902587890625]",77559.03944828552,5539.931389163251,50988.41568070122,0.044439473451572405,28.82665215670737,3.1320383854930847,43.84853739690318,1278067.7222702045,91290.5515907289,865217.4587966938
2808049,[400.       400.        19.616575],53,52,8,18.153846153846153,19.616575241088867,4.210904121398926,11.097308415632982,1312,25.23076923076923,76,"[123.0152587890625, 46.12059020996094, 16.27224349975586]","[-117.5900650024414, -15.878446578979492, 0.0]","[5.425193786621094, 30.242143630981445, 16.27224349975586]",29647.868926598596,570.1513255115116,5673.536340182647,0.05555867595770223,3.5459602126141543,0.3563445784446947,18.529918079124123,428544.69958351087,8241.244222759824,92321.16483216573
2804449,[400.      400.       35.40436],84,396,8,43.7710843373494,35.404361724853516,3.913820743560791,16.538716614964496,5057,60.9277108433735,576,"[93.49832916259766, 107.30107116699219, 19.383464813232422]","[3.3557968139648438, -169.37135314941406, 0.0]","[96.8541259765625, -62.070281982421875, 19.383464813232422]",73149.48660984758,881.3191157812957,10032.470871470752,0.04106151415369798,6.27029429466922,0.5508244473633098,45.71842913115473,1334369.1725698474,16076.737018913827,194464.04612693255
2802887,[400.       400.        20.372263],39,16,8,8.736842105263158,20.372262954711914,4.153261184692383,15.76663643435428,422,11.105263157894736,22,"[38.297264099121094, 81.79769897460938, 17.528047561645508]","[-82.40814208984375, -105.7359619140625, 0.0]","[-44.110877990722656, -23.938261032104492, 17.528047561645508]",30452.158954780887,801.3726040731812,3132.6281533772562,0.21682740306277537,1.9578925958607851,0.5008578775457383,19.032599346738056,495400.2179237363,13036.847840098326,54908.85526534628
2800121,[400.      403.55862  21.51429],18,32,8,11.529411764705882,21.51428985595703,7.197315692901611,15.879962893093333,260,15.294117647058824,46,"[124.85027313232422, 159.675048828125, 16.5156192779541]","[66.92545318603516, -203.55862426757812, 0.0]","[191.77572631835938, -43.88357925415039, 16.5156192779541]",45636.237314184706,2684.484547893218,19935.472982342617,0.1287034450971453,12.349799608676049,1.6630077575000566,28.27113187750096,732564.2815432718,43092.01656136893,329246.68190231087
2805150,[400.       400.        21.217318],90,86,8,15.707865168539326,21.217317581176758,4.118366241455078,14.955700258190712,1963,22.0561797752809,139,"[120.88031768798828, 53.5987434387207, 19.96304702758789]","[57.92321014404297, 27.352313995361328, 0.0]","[178.80352783203125, 80.95105743408203, 19.96304702758789]",54985.19487661941,617.811178388982,6556.311322570182,0.02217115774729791,4.097694576606364,0.3861319864931138,34.365746797887134,894732.8424773248,10053.178005363201,129341.24315831257
2805469,[400.       400.        16.089693],5,16,8,11.0,16.089693069458008,4.239417552947998,9.908725619316101,58,14.5,22,"[17.00387954711914, 20.304622650146484, 14.878227233886719]","[-49.088558197021484, -67.2904281616211, 0.0]","[-32.084678649902344, -46.98580551147461, 14.878227233886719]",973.5663036781625,243.39157591954063,345.25735779279785,0.10424910732243915,0.21578584862049865,0.1521197349497129,0.6084789397988516,11224.505469059779,2806.1263672649447,5136.817423412576
2806767,[495.93475  409.45123   20.546867],15,396,8,41.0,20.54686737060547,4.642499923706055,14.994650295802526,857,61.214285714285715,612,"[295.2037353515625, 251.04519653320312, 20.54686737060547]","[0.73101806640625, -41.59396743774414, 0.0]","[295.93475341796875, 209.45123291015625, 20.54686737060547]",92040.39039687312,6574.313599776651,74109.48088478157,0.12388211146674037,36.49614976270242,3.2376037567642877,45.32645259470003,1816651.8599442905,129760.84713887789,1522717.6746440283
2802212,[400.       400.        32.312984],29,28,8,14.642857142857142,32.312984466552734,3.923305034637451,14.482638810362134,559,19.964285714285715,40,"[160.63729858398438, 118.08676147460938, 14.917734146118164]","[0.5637159943580627, -165.57252502441406, 0.0]","[161.20101928710938, -47.48575973510742, 14.917734146118164]",37468.33876005183,1338.1549557161372,18969.139530638287,0.04259530916013318,11.85571220664893,0.8363468473225855,23.417711725032394,602459.0815984169,21516.395771372034,282976.5804986827
2807290,[400.       400.        18.752237],54,40,8,11.547169811320755,18.75223731994629,4.081207275390625,7.836671397371112,812,15.320754716981131,58,"[46.329586029052734, 67.58203125, 13.013998031616211]","[-43.1466178894043, 57.103912353515625, 0.0]","[3.1829681396484375, 124.68594360351562, 13.013998031616211]",16964.524165491857,320.08536161305386,3131.0475308150053,0.04709242246642134,1.9569047067593783,0.20005335100815866,10.60282760343241,187061.83898572501,3529.4686601080175,40747.44640292328
2808819,[426.9228  406.32495  93.     ],12,202,8,34.0,93.0,4.670431137084961,17.090358300642535,547,49.72727272727273,301,"[159.87091064453125, 239.8937530517578, 10.376033782958984]","[-108.15424346923828, -33.56878662109375, 0.0]","[51.71666717529297, 206.32496643066406, 10.376033782958984]",117936.8212676497,10721.529206149973,38352.03275831882,0.020150529289358843,22.108820509855885,6.180646702710477,67.98711372981526,1456581.9969677643,132416.54517888764,397941.9875454657
2806233,[400.       400.        20.221075],25,32,8,15.416666666666666,20.2210750579834,4.326848983764648,11.96216764052709,507,21.125,46,"[31.12253189086914, 73.4483413696289, 18.830162048339844]","[61.93680191040039, -161.52386474609375, 0.0]","[93.05933380126953, -88.07552337646484, 18.830162048339844]",18248.094749372875,760.3372812238696,2285.898346607719,0.14582171394924856,1.4286864666298242,0.4752108007649185,11.405059218358044,258922.6400454853,10788.443335228556,43043.83629265546
